"","country","party","party_id","position","eu_salience","eu_dissent","eu_asylum","eu_budgets","lrgen","lrecon","lrecon_clear","lrecon_salience","galtan","galtan_clear","galtan_salience","immigrate_policy","immigra_salience","immigrate_dissent","multiculturalism","multicult_salience","multicult_dissent","ethnic_minorities","galtan_new","galtan_new_clear","galtan_new_salience","people_vs_elite","antielite_salience","corrupt_salience","members_vs_leadership"
"1",3,"CDU",301,7,9,4,7,3,5,5,9,9,6,7,6,7,9,6,8,9,4,6,6,7,6,4,2,1,9
"2",3,"CDU",301,6,4,7,6,3,6,7,9,9,7,6,6,7,6,9,8,9,7,8,6,3,5,2,1,1,9
"3",3,"CDU",301,7,8,2,6,5,6,6,7,6,5,6,6,5,6,7,7,6,7,3,5,5,6,2,2,2,7
"4",3,"CDU",301,6,7,6,5,4,7,6,6,7,6,5,5,5,7,9,5,6,8,5,6,3,5,3,4,3,7
"5",3,"CDU",301,7,9,1,6,4,6,7,9,9,6,6,7,6,9,9,7,10,6,6,6,6,8,2,3,NA,9
"6",3,"CDU",301,6,5,7,7,6,5,6,6,6,6,5,6,6,6,9,7,7,NA,5,6,3,2,2,0,NA,7
"7",3,"CDU",301,6,5,3,6,3,6,6,6,7,6,5,NA,5,6,5,5,5,5,5,5,5,5,3,3,3,8
"8",3,"CDU",301,6,5,4,6,4,5,6,4,5,6,5,5,5,5,7,6,5,6,4,5,5,5,3,1,1,8
"9",3,"CDU",301,6,7,7,7,4,4,6,6,4,4,4,6,2,7,9,4,7,7,5,4,5,6,3,0,0,10
"10",3,"CDU",301,6,3,2,6,6,6,6,5,5,6,5,5,6,6,6,6,3,5,4,6,3,6,2,1,0,9
"11",3,"CDU",301,5,6,3,6,4,6,6,3,6,6,4,6,6,7,9,6,6,6,5,6,4,7,1,0,1,8
"12",3,"CDU",301,5,4,7,6,3,6,7,5,5,6,6,6,7,7,7,8,7,8,9,7,4,7,2,1,0,8
"13",3,"CDU",301,6,5,2,6,5,4,4,7,6,3,7,6,4,6,5,7,5,2,6,NA,NA,NA,0,3,NA,9
"14",3,"CDU",301,6,7,2,5,5,5,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,6,6,6,2,2,3,5
"15",3,"CDU",301,6,6,2,6,4,7,7,4,7,7,5,6,7,7,7,7,6,6,7,7,5,7,3,0,0,8
"16",3,"CDU",301,6,5,5,3,2,5,7,5,5,7,8,8,7,5,6,9,7,2,7,7,7,7,2,2,1,8
"17",3,"SPD",302,7,8,2,7,7,3,4,7,8,4,3,6,2,7,6,3,7,3,5,4,7,3,5,0,0,6
"18",3,"SPD",302,6,6,3,7,5,4,3,5,7,4,6,6,3,5,6,4,6,4,6,3,7,5,6,3,1,5
"19",3,"SPD",302,6,6,6,7,5,4,4,6,7,4,5,6,3,7,6,5,5,NA,3,4,3,3,2,7,NA,4
"20",3,"SPD",302,6,7,6,5,4,5,4,9,7,4,8,7,3,8,4,3,7,5,5,4,6,6,6,4,7,4
"21",3,"SPD",302,7,8,2,6,6,4,4,7,6,3,6,6,2,6,6,4,6,5,3,2,5,6,2,2,2,7
"22",3,"SPD",302,7,7,2,5,6,4,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6,5,5,2,3,5
"23",3,"SPD",302,7,10,1,7,5,4,4,7,9,5,6,6,6,9,4,5,9,3,5,5,6,6,3,2,1,7
"24",3,"SPD",302,7,10,2,7,7,4,3,9,8,2,8,9,1,6,2,3,5,2,1,NA,NA,NA,0,0,NA,8
"25",3,"SPD",302,7,8,2,6,5,4,3,9,10,2,8,8,4,8,6,5,9,5,2,3,6,6,3,2,NA,7
"26",3,"SPD",302,6,6,2,6,5,3,3,6,8,3,8,4,5,5,7,5,6,6,4,4,7,6,3,1,1,7
"27",3,"SPD",302,6,6,4,7,5,4,3,7,8,4,7,6,3,6,4,4,7,4,4,4,7,4,5,3,0,6
"28",3,"SPD",302,6,8,2,6,5,3,3,4,7,3,5,6,7,7,7,5,6,6,6,5,6,7,3,1,0,4
"29",3,"SPD",302,6,5,5,6,3,4,3,6,5,5,5,5,5,5,7,5,5,3,6,5,5,5,2,2,1,7
"30",3,"SPD",302,7,8,5,7,7,4,3,7,7,4,4,6,2,7,3,5,6,5,1,4,6,6,5,4,6,2
"31",3,"SPD",302,7,7,2,6,5,4,4,6,6,4,5,NA,7,6,5,2,6,5,4,6,6,5,4,3,3,6
"32",3,"SPD",302,7,4,2,6,5,4,4,6,6,4,6,4,5,6,4,5,6,3,2,4,4,4,5,1,1,7
"33",3,"FDP",303,5,5,3,6,1,7,9,10,9,4,3,5,7,7,3,7,6,6,8,7,7,8,2,1,0,9
"34",3,"FDP",303,6,7,1,6,2,6,7,9,9,4,8,7,7,8,5,6,9,3,6,5,4,5,3,4,1,9
"35",3,"FDP",303,4,3,2,4,2,7,8,10,10,4,7,3,8,7,3,6,6,3,5,5,7,4,4,3,1,8
"36",3,"FDP",303,6,5,3,6,3,5,6,7,8,2,7,NA,6,6,5,3,6,5,3,8,7,8,4,3,3,8
"37",3,"FDP",303,3,6,7,4,2,6,8,9,8,2,8,7,7,8,3,5,7,3,5,2,7,7,4,4,3,8
"38",3,"FDP",303,5,4,2,5,6,6,9,7,8,6,3,6,7,6,6,6,5,3,3,5,1,4,2,4,1,9
"39",3,"FDP",303,5,6,3,6,5,7,8,9,9,1,10,8,2,9,3,5,9,3,1,NA,NA,NA,0,2,NA,10
"40",3,"FDP",303,5,5,3,4,2,7,9,9,7,6,6,5,4,7,5,5,5,4,5,4,6,7,4,3,2,8
"41",3,"FDP",303,4,5,8,3,3,6,9,10,8,4,8,4,7,7,5,6,7,5,5,4,5,5,2,5,7,9
"42",3,"FDP",303,3,6,5,2,5,7,9,10,8,2,8,8,6,7,NA,NA,6,NA,4,4,4,6,7,0,NA,7
"43",3,"FDP",303,3,6,3,3,2,8,9,9,8,3,8,7,8,7,2,8,7,3,8,3,9,5,7,6,2,8
"44",3,"FDP",303,5,7,2,5,4,5,7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,4,6,6,4,5,5,5
"45",3,"FDP",303,5,4,4,4,1,8,8,9,7,5,2,5,8,3,2,4,6,3,3,5,5,1,4,7,2,7
"46",3,"FDP",303,6,6,4,7,6,6,10,10,10,3,7,6,6,9,2,6,9,2,3,5,5,6,5,5,NA,8
"47",3,"FDP",303,3,7,2,2,2,7,8,9,7,8,8,8,8,7,1,9,9,1,8,7,7,8,2,4,1,8
"48",3,"FDP",303,5,8,2,3,2,7,8,9,9,3,7,8,6,5,2,4,6,3,6,3,7,5,6,3,1,10
"49",3,"Grunen",304,7,6,3,7,6,2,2,9,5,2,9,9,1,9,2,1,9,1,1,0,10,10,8,6,0,5
"50",3,"Grunen",304,6,7,2,7,6,3,4,6,7,1,8,7,2,9,2,2,7,2,7,1,9,9,6,2,3,6
"51",3,"Grunen",304,7,8,2,6,7,2,2,7,4,0,9,9,1,7,1,2,6,1,3,0,5,9,4,2,2,6
"52",3,"Grunen",304,7,7,2,7,7,2,4,6,4,1,9,10,1,10,1,0,10,1,3,0,10,10,6,0,2,3
"53",3,"Grunen",304,6,5,2,6,6,2,2,9,2,0,10,10,1,8,1,1,9,1,1,1,10,10,7,7,1,6
"54",3,"Grunen",304,7,6,2,6,5,3,5,5,5,3,6,NA,8,6,3,1,7,3,2,9,9,9,6,3,3,4
"55",3,"Grunen",304,7,5,1,7,4,4,5,6,3,1,8,8,2,8,3,2,9,2,0,1,9,8,7,1,2,4
"56",3,"Grunen",304,7,4,3,6,6,3,4,6,6,2,9,8,3,6,7,3,6,6,2,2,7,7,7,2,2,4
"57",3,"Grunen",304,7,6,1,7,7,2,2,4,3,2,8,8,3,7,3,2,9,2,3,3,9,8,8,0,1,2
"58",3,"Grunen",304,6,6,5,7,5,3,4,5,5,3,8,6,2,4,NA,3,5,NA,2,1,9,10,8,5,NA,2
"59",3,"Grunen",304,NA,8,2,6,7,4,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,9,8,7,5,5,4
"60",3,"Grunen",304,7,5,3,7,6,3,2,9,7,0,10,10,0,10,3,1,10,3,0,0,9,10,8,1,NA,6
"61",3,"Grunen",304,7,7,2,7,7,5,2,9,6,1,10,8,1,5,2,2,5,3,1,NA,NA,NA,2,0,NA,7
"62",3,"Grunen",304,6,6,4,6,5,3,3,6,6,2,8,8,3,8,3,1,7,2,7,1,9,8,8,5,7,3
"63",3,"Grunen",304,7,7,2,6,4,3,3,6,7,2,9,8,3,9,3,2,9,3,3,2,9,8,5,2,1,5
"64",3,"Grunen",304,7,8,2,7,6,3,4,1,2,1,10,10,3,9,1,0,10,1,0,0,9,10,8,1,6,2
"65",3,"Linke",306,3,5,4,4,6,1,1,10,9,3,3,2,3,2,5,5,3,1,1,2,5,4,9,9,7,3
"66",3,"Linke",306,5,7,3,5,5,2,1,9,8,5,7,6,3,6,6,4,5,3,6,2,7,4,5,5,1,7
"67",3,"Linke",306,5,2,8,6,4,2,1,9,9,4,4,4,5,4,9,5,5,8,4,4,2,5,7,8,2,6
"68",3,"Linke",306,4,6,7,6,6,1,1,10,8,7,8,5,3,5,4,5,6,3,7,3,6,7,5,3,1,8
"69",3,"Linke",306,4,5,4,5,NA,2,0,9,NA,2,10,7,1,5,NA,2,NA,2,1,NA,NA,NA,2,4,NA,7
"70",3,"Linke",306,5,4,6,7,3,1,1,9,10,3,4,4,3,8,9,3,7,8,2,3,4,6,7,7,NA,8
"71",3,"Linke",306,2,1,4,4,4,1,0,7,7,7,2,3,6,3,10,5,6,10,3,2,5,1,3,2,2,7
"72",3,"Linke",306,5,7,5,5,6,2,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,6,5,7,7,5,4
"73",3,"Linke",306,5,6,4,6,5,1,1,9,8,3,7,5,5,6,9,4,6,8,4,4,6,6,7,7,2,4
"74",3,"Linke",306,5,6,4,6,5,2,2,6,7,3,8,8,2,8,6,1,7,2,7,2,9,8,8,8,8,3
"75",3,"Linke",306,4,4,5,6,2,2,2,7,7,2,7,5,3,6,6,3,7,3,2,4,3,5,7,6,5,6
"76",3,"Linke",306,4,5,2,5,4,2,2,6,6,5,4,NA,4,5,6,5,5,6,4,6,6,5,4,6,3,6
"77",3,"Linke",306,3,3,5,7,6,1,1,9,8,3,8,8,2,8,7,3,9,2,3,3,9,9,8,8,2,7
"78",3,"Linke",306,3,6,6,5,4,2,1,9,8,3,9,8,2,7,9,2,9,7,3,2,4,7,8,5,2,4
"79",3,"Linke",306,4,2,4,4,3,0,0,10,9,8,9,3,5,2,NA,NA,10,NA,5,6,1,1,NA,10,NA,7
"80",3,"Linke",306,6,6,7,7,7,1,1,9,9,4,7,6,1,9,2,2,9,1,3,2,9,7,6,6,4,7
"81",3,"CSU",308,5,4,4,3,2,6,6,6,5,6,8,7,8,9,2,7,6,1,6,6,9,8,6,0,0,8
"82",3,"CSU",308,4,6,4,4,3,7,7,6,7,7,7,NA,3,7,5,6,9,4,7,3,9,7,2,6,3,8
"83",3,"CSU",308,5,4,6,6,5,8,3,9,6,6,9,9,8,10,7,10,10,5,8,NA,NA,NA,1,4,NA,9
"84",3,"CSU",308,4,3,2,3,2,8,7,9,7,8,8,6,9,9,2,9,9,2,9,8,9,8,2,7,0,9
"85",3,"CSU",308,5,4,5,4,6,8,7,7,5,10,9,10,10,10,1,8,10,NA,7,8,9,10,2,5,NA,7
"86",3,"CSU",308,6,8,2,5,1,7,4,7,8,7,9,8,9,10,3,9,10,2,9,7,9,9,2,4,1,10
"87",3,"CSU",308,3,7,5,3,3,7,5,3,4,8,9,8,7,9,3,8,7,3,5,8,9,5,8,5,0,6
"88",3,"CSU",308,7,8,2,6,5,7,7,7,6,6,2,7,6,7,5,9,6,5,5,6,5,7,2,3,2,7
"89",3,"CSU",308,3,6,1,2,2,8,8,9,5,8,9,9,9,9,1,10,9,0,10,9,10,10,6,0,0,9
"90",3,"CSU",308,4,8,2,3,1,8,8,9,5,8,8,7,9,7,2,9,9,2,8,8,9,8,1,1,1,8
"91",3,"CSU",308,3,4,3,3,1,8,7,5,6,7,8,6,7,9,3,9,9,2,2,7,9,8,4,2,0,7
"92",3,"CSU",308,5,6,3,6,2,7,6,9,9,8,9,9,9,10,1,10,10,1,9,9,9,9,7,4,NA,9
"93",3,"CSU",308,4,3,1,5,5,7,6,5,2,8,8,8,8,9,2,8,9,2,6,8,9,9,3,1,0,9
"94",3,"CSU",308,6,7,2,5,5,6,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,9,6,2,2,NA,4
"95",3,"CSU",308,5,6,3,6,2,8,7,4,7,8,8,9,9,9,1,10,9,0,9,9,NA,9,2,7,0,9
"96",3,"CSU",308,4,6,7,4,3,8,5,9,7,7,7,8,8,8,3,7,9,2,4,7,9,8,5,7,3,7
"97",3,"AfD",310,3,8,0,2,1,10,8,9,6,10,10,10,10,10,0,10,10,1,10,10,10,10,2,8,1,9
"98",3,"AfD",310,1,7,2,1,1,9,9,3,4,9,8,NA,1,10,1,9,9,1,9,1,9,9,6,10,3,8
"99",3,"AfD",310,1,6,4,1,1,9,9,0,0,10,9,9,10,10,2,10,9,1,9,10,9,10,8,10,0,4
"100",3,"AfD",310,1,10,1,1,1,9,8,5,7,10,9,10,10,10,1,10,10,1,10,10,10,10,10,10,NA,6
"101",3,"AfD",310,2,4,1,1,2,9,7,1,1,9,9,9,10,10,0,10,9,1,10,10,10,10,8,10,7,4
"102",3,"AfD",310,2,6,1,1,1,9,8,3,3,9,9,8,10,10,1,10,10,1,10,9,9,9,7,9,1,8
"103",3,"AfD",310,2,7,1,1,1,9,6,6,4,9,9,10,10,10,0,10,10,0,10,10,10,10,10,10,5,10
"104",3,"AfD",310,2,6,0,5,1,10,7,2,1,10,10,10,10,10,0,10,10,0,10,10,10,10,9,10,10,2
"105",3,"AfD",310,2,7,2,1,2,9,7,4,3,9,9,9,10,10,1,10,10,1,1,9,10,10,9,10,7,4
"106",3,"AfD",310,2,8,2,1,1,9,7,3,3,9,9,10,10,10,0,10,0,0,10,8,10,10,9,10,7,5
"107",3,"AfD",310,2,7,2,2,1,9,6,5,6,9,9,8,10,10,1,10,10,1,10,9,9,10,9,10,6,9
"108",3,"AfD",310,3,8,5,2,2,9,8,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,8,7,8,8,9,7,4
"109",3,"AfD",310,2,6,5,2,2,9,NA,3,3,10,10,10,10,10,2,10,10,3,10,NA,NA,NA,6,10,NA,5
"110",3,"AfD",310,2,7,3,1,2,10,7,4,2,10,9,10,10,10,0,9,10,NA,10,10,10,10,8,10,NA,8
"111",3,"AfD",310,1,8,1,1,1,9,8,3,5,10,4,7,9,9,1,10,9,3,1,9,9,10,3,9,3,8
"112",3,"AfD",310,1,9,2,1,1,9,8,2,2,9,10,10,10,10,1,10,10,1,9,9,9,10,10,10,8,6
