Country;ISO3;Year;Rank;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Yemen; Rep.;2022;1st;111,7;9,1;10;9,1;9,9;8;6,7;9,9;9,9;9,9;9,9;9,9;9,4
Somalia;SOM;2022;2nd;110,5;9,4;10;8,4;9,1;9;8,7;9,5;9,9;8,8;10;8,7;9
Syria;#N/D;2022;3rd;108,4;9,5;9,9;9,4;9,3;6,8;8,1;10;9,3;9,4;7,3;9,4;10
South Sudan;SSD;2022;3rd;108,4;9,8;9,2;8,5;8,9;8,7;6,6;9,6;9,8;8,6;9,6;10;9,1
Central African Republic;CAF;2022;5th;108,1;8,3;9,7;8,4;8,2;9,7;6,5;9,2;10;9,4;9,2;9,8;9,7
Congo Democratic Republic;COD;2022;6th;107,3;8,7;9,6;9,3;8,3;8,4;6,7;9,3;9,5;9,3;9,7;9,7;8,8
Sudan;SDN;2022;7th;107,1;8,2;9,6;9,6;9,2;8,4;7,8;9,3;8,9;9,1;9,1;9,5;8,4
Chad;TCD;2022;9th;105,7;8,6;9,5;8,4;8,7;8,8;8;9,4;9,7;8,3;9,6;9,1;7,6
Myanmar;MMR;2022;10th;100;9;9;9,6;7,5;7,2;6,4;9,1;9;9,2;7,3;9,1;7,6
Haiti;HTI;2022;11th;99,7;6,3;9,6;5,4;8,6;9,3;8,2;9,8;9,7;7,4;8,7;7,2;9,5
Guinea;GIN;2022;12th;99,6;9;10;9,7;7,9;7,6;6,4;10;9,7;7;9,1;6,5;6,7
Ethiopia;ETH;2022;13th;99,3;8,5;9,2;9,2;6;7;6,3;8,5;8,6;8,7;9,7;9,2;8,4
Mali;MLI;2022;14th;98,6;9,7;7,2;8,2;7,2;7,3;7,8;8,5;8,9;7,2;8,8;8,4;9,4
Zimbabwe;ZWE;2022;15th;97,8;8,7;9,9;5,8;9,1;7,7;7;8,9;8,7;8,1;9;7,9;7
Nigeria;NGA;2022;16th;97,2;8,9;9,3;8,9;8,3;8;6,6;8,5;9,1;8,4;9,5;6,3;5,4
Cameroon;CMR;2022;17th;96;8,4;9,3;8,4;6,5;7,7;7,2;8,7;8,3;7,6;8,8;8,4;6,7
Eritrea;ERI;2022;18th;95,9;5,9;8,7;8,6;7,4;8,2;8,5;9,6;8;9;8;7,1;6,9
Burundi;BDI;2022;19th;95,4;7,7;8,5;7;8,3;7,1;5,5;9,4;7,9;8,9;8,9;8,3;7,9
Niger;NER;2022;20th;95,2;8,6;9,6;7,6;6,5;7,9;6,9;6,8;9,6;7;8,8;8,2;7,7
Libya;LBY;2022;21st;94,3;9,3;9,1;7,2;8,6;5,9;5,1;9,4;7,7;8,8;6,2;7,4;9,6
Mozambique;MOZ;2022;21st;94,3;7,3;6,3;6,9;8;9,1;7,4;6,8;9,6;7,5;9,5;7,8;8,1
Iraq;IRQ;2022;23rd;93,8;7,8;9,6;7,9;6,6;5,8;6,4;8,3;8,6;8,1;8,5;8;8,2
Congo Republic;COG;2022;24th;92,2;6,7;6,7;8,7;9,3;7,8;6,5;9,1;9;7,5;8,3;6,8;5,8
Uganda;UGA;2022;25th;92,1;6,6;8,9;7,9;6,2;7,1;6,4;8,5;8,3;7,1;8,9;9,2;7
Venezuela; RB;2022;26th;91,6;7;9,4;6,7;9,9;6,8;6,6;9,6;8,6;8,8;6,8;6;5,4
Guinea Bissau;GNB;2022;27th;91,3;7,4;9,6;4;7,5;9,4;6,8;9;9,1;6,3;8,9;5,8;7,5
Lebanon;LBN;2022;27th;91,3;7,6;9,6;8;9,1;6,3;6,3;7,8;6,7;7,1;5,7;8,5;8,6
Burkina Faso;BFA;2022;29th;90,5;8,7;7,8;5,5;6,9;8,1;7,1;6,4;8,8;6,5;8,4;7,7;8,6
Pakistan;PAK;2022;30th;89,7;7,9;9;8,9;6,6;5;5,9;7,4;7,7;7,4;8,2;7,5;8,2
Côte d'Ivoire;CIV;2022;31st;89,6;6,9;9,9;7;6,3;7,8;6,1;7,8;8,3;7,2;8,5;6,3;7,5
North Korea;#N/D;2022;32nd;89,1;7,7;9,2;4,9;8,6;7,4;3,5;9,9;8,3;9,3;7,6;3,5;9,2
Liberia;LBR;2022;33rd;88,2;6,3;8,9;4,3;8,2;7,1;6,8;6,5;9;7;8,5;7,8;7,8
Kenya;KEN;2022;33rd;88,2;7,1;8,6;8;6,3;7,1;6,7;7,3;8,3;6,2;8,4;7,6;6,6
Angola;AGO;2022;35th;88,1;6,9;7,2;8,4;8,3;8,8;5,9;8,3;9,1;6,1;9,2;5,6;4,3
Mauritania;MRT;2022;36th;87,9;6;8,8;7,3;6,6;6,7;6,2;7,9;8,6;6,6;8,5;8,2;6,5
Palestine;#N/D;2022;37th;85,6;6,1;8,9;5,3;6,5;5;8,8;8,8;3,9;7,8;8,6;5,9;10
Equatorial Guinea;GNQ;2022;39th;84,1;5,6;8,2;7,2;6,6;7,9;4;9,8;8,8;8,1;8,8;5,2;3,9
Iran; Islamic Rep.;2022;39th;84,1;6,6;9,6;9,2;7,3;4,6;5;9,3;4,4;9,8;6,5;5,4;6,4
Rwanda;RWA;2022;41st;83,7;5,5;8;9,3;6,1;7,7;6,4;6,7;7;6,1;7,3;7,6;6
Egypt;EGY;2022;42nd;83,6;7,3;9,1;8;7;4,8;5,1;8,6;5;9,5;7;5,8;6,4
Zambia;ZMB;2022;42nd;83,6;4,2;5,9;5,6;8,7;9,2;6,8;7,2;7,8;7,2;9,3;5,2;6,5
Togo;TGO;2022;42nd;83,6;6,1;7,6;6,3;7;8,2;6,8;7,9;8,2;6,5;7,4;6;5,6
Malawi;MWI;2022;45th;83;4,5;8,7;4,4;7,8;7,9;6,7;7,4;8,5;5;9,5;5,5;7,1
Sierra Leone;SLE;2022;46th;82,4;3,5;7,8;5,3;8,2;7,8;7,3;5,4;8,9;5,3;8,8;7,7;6,4
Comoros;COM;2022;47th;82,3;5,9;8;4,5;7,3;7,4;7,1;7,9;8,1;5,5;8,3;5,8;6,5
Djibouti;#N/D;2022;48th;81,3;5;7,3;5;6,7;7,2;4,3;8,5;7,4;7,4;7,2;7,4;7,9
Nepal;NPL;2022;49th;80,6;5;8,8;9,1;5,6;5,6;6,1;6,1;7,4;6;8,4;6,9;5,6
Philippines;PHL;2022;50th;80,5;9,4;8;7;4,9;4,9;5,1;7,1;6,5;7,8;8,1;6;5,7
Madagascar;MDG;2022;52nd;80,4;6;7,8;3,6;7,6;9,1;5,8;7;8,8;5,9;9,5;4;5,3
Swaziland;SWZ;2022;52nd;80,4;4,8;6,8;1,9;9,3;7,9;6,3;8,7;7,4;7,9;9;4;6,4
Solomon Islands;SLB;2022;52nd;80,4;5,3;8,7;5,8;6,7;7,9;6,2;6,1;8,1;3,9;7,4;4,7;9,6
Papua New Guinea;PNG;2022;55th;79,5;6,4;7,1;4,8;7,1;8,5;6,2;5,8;9,4;6,6;7,7;4,6;5,3
Sri Lanka;LKA;2022;56th;79,3;6,5;9,1;8,1;5,5;5,6;6,6;6;5;7,9;6,7;6,9;5,4
Timor-Leste;TLS;2022;56th;79,3;5,9;8,3;5,3;7,4;6,1;6,9;5,2;7,3;4,2;9;5,4;8,3
Honduras;HND;2022;58th;78,7;6,7;7;4,8;6;6,7;6,9;7,1;7,3;7,5;6,8;5,3;6,6
Gambia;GMB;2022;59th;78,6;5,4;7,7;2,7;7,9;5,8;7,2;6,9;7,7;7,3;8,5;5,7;5,8
Colombia;#N/D;2022;60th;78,4;6,6;7,6;7,6;5,5;6,3;4,8;5,6;6,3;7,2;8,1;7,7;5,1
Tanzania;TZA;2022;61st;78,2;4,9;6,5;5,1;5,9;7;6,7;7,4;8,4;5,9;8,9;5,2;6,3
Turkey;#N/D;2022;62nd;78,1;6,9;8,8;9,4;4,9;4,6;3,9;7,3;5,1;8,1;5;8,1;6
Nicaragua;NIC;2022;63rd;77,7;5,9;7,1;5,7;5,7;6,9;7,6;8,9;6,6;7,4;5,3;4,1;6,5
Guatemala;GTM;2022;64th;77,5;6,5;7,1;9,3;4,6;6,8;6,8;6,6;6,9;7,3;7;4,9;3,7
Lesotho;LSO;2022;65th;77,4;6,1;7,3;3;8,3;8,1;7,6;4,8;7,2;4,8;8,9;4,2;7,1
Kyrgyzstan;#N/D;2022;66th;77,1;5,9;8,2;8,2;7,2;5;6,7;8,5;5;6,4;6;3,8;6,2
Jordan;JOR;2022;67th;76,6;4,9;6,9;8,3;6,5;4,7;5,4;6,4;5,1;6,9;6,6;8,7;6,2
Laos;#N/D;2022;68th;75,5;4,1;8,3;7,2;4,8;5,4;6,7;9;6,4;6,8;6,7;5,1;5
India;IND;2022;69th;75,3;6,3;7,3;8,1;6,5;6,1;5,2;4,4;7,6;7,4;8,4;3,8;4,2
Tajikistan;TJK;2022;70th;75;5,4;8,4;6,7;6;4,2;5,5;9,3;5;8,5;7,3;3,7;5
Russia;#N/D;2022;75th;72,6;7,8;8,4;8,1;4,7;4,7;3,4;8,6;4;9;5,1;4,3;4,5
Benin;BEN;2022;76th;72,5;5;6,7;2,5;6,7;7,9;6,2;5,3;8,4;5,2;8;5,4;5,2
Algeria;DZA;2022;77th;72,2;6,1;7,2;6,9;6,3;5,3;5,4;7,9;5,3;6,6;5,3;6,5;3,4
Senegal;SEN;2022;78th;72,1;4,8;7;5,3;7,2;6,6;7;3,7;7,6;4,5;7,4;5,8;5,2
South Africa;ZAF;2022;79th;72;6,9;6,8;5,9;8;7;4,8;6,4;6,9;4,5;7,9;3,9;3
Georgia;GEO;2022;80th;71,8;5,3;9,1;7;5,5;4,3;5,8;8,3;4,1;4,9;5;6;6,5
Micronesia; Fed. Sts.;2022;81st;71;3,4;5,6;3,7;8,8;6,8;8,7;4,4;6,5;3,5;6,1;3,9;9,6
El Salvador;#N/D;2022;82nd;70,8;6,3;4,8;5,6;5,6;5,1;8,4;4,9;6,5;5,6;7,1;5,6;5,3
