"","murdock_name","land_area","atlantic_number15","atlantic_number16","atlantic_number17","atlantic_number18","indian_number15","indian_number16","indian_number17","indian_number18","atlantic_all_years","indian_all_years"
"1","ABABDA",155478.909712378,0,0,0,0,0,0,0,0,0,0
"2","ABARAMBO",6780.70615803379,0,0,0,0,0,0,0,0,0,0
"3","ABE",4031.34528101323,0,0,0,0,0,0,0,0,0,0
"4","ACHOLI",27266.3982502034,0,0,0,0,0,0,0,0,0,0
"5","ADAMAWA",52749.424319771,0,0,0,0,0,0,0,0,0,0
"6","ADANGME",4677.36438703595,0,0,0,10354,0,0,0,0,10354,0
"7","ADARAWA",24362.0099920044,0,0,0,0,0,0,0,0,0,0
"8","ADELE",1425.68701964092,0,0,0,29,0,0,0,0,29,0
"9","AFAR",120873.475723824,0,0,0,0,0,0,0,0,0,0
"10","AFO",1831.09526132437,0,0,0,0,0,0,0,0,0,0
"11","AFUSARE",945.914125689844,0,0,0,0,0,0,0,0,0,0
"12","AHAGGAREN",497216.376822232,0,0,0,0,0,0,0,0,0,0
"13","AJUKRU",1893.90933775499,0,0,0,0,0,0,0,0,0,0
"14","AKPOSO",2588.68307482721,0,0,0,0,0,0,0,0,0,0
"15","AKYEM",13420.2030799272,0,0,16780,2334,0,0,0,0,19114,0
"16","ALAGYA",1595.62863803636,0,0,0,0,0,0,0,0,0,0
"17","ALGERIANS",84862.4799731642,0,0,0,0,0,0,0,0,0,0
"18","ALUR",6866.61673912754,0,0,0,0,0,0,0,0,0,0
"19","AMARAR",37745.4178676213,0,0,0,0,0,0,0,0,0,0
"20","AMBA",7046.49289229635,0,590,0,1293,0,0,0,0,1883,0
"21","AMBO",95740.4638911139,226,0,0,162,0,0,0,0,388,0
"22","AMER",33925.4425652233,0,0,0,0,0,0,0,0,0,0
"23","AMHARA",127273.499266376,0,0,0,0,0,0,0,0,0,0
"24","ANA",4512.35927109401,0,0,0,871,0,0,0,0,871,0
"25","ANAG",13803.6943832108,0,0,0,0,0,0,0,0,0,0
"26","ANGAS",15757.2270220326,0,0,0,0,0,0,0,0,0,0
"27","ANTAISAKA",13979.548720569,0,301,260,1854,0,0,1066,1028,2415,2094
"28","ANTANDROY",21561.163160258,0,465,401,2859,0,0,1644,1585,3725,3229
"29","ANTESSAR",27304.9004565126,0,0,0,0,0,0,0,0,0,0
"30","ANUAK",27540.5821331378,0,0,0,0,0,0,0,0,0,0
"31","ANYANG",6692.78247461289,0,0,0,9431,0,0,0,0,9431,0
"32","ANYI",32401.7568843924,0,0,0,0,0,0,0,0,0,0
"33","ARAD",29153.8159719174,0,0,0,0,0,0,0,0,0,0
"34","ARAGO",4139.07555750116,0,0,0,0,0,0,0,0,0,0
"35","ARI",2773.07534807582,0,0,0,0,0,0,0,0,0,0
"36","ARUSI",114600.590956894,0,0,0,0,10,5,11,17,0,43
