TRIBE,TRIBE_CODE,LAT,LON,COUNTRY,ISO3,TOTAL_ATLANTIC,TOTAL_INDIAN
ABABDA,"1","23.16180000000","33.70160000000",Egypt,EGY,"0","0"
ABARAMBO,"2","3.70295492914","26.79730000000",Democratic Republic of the Congo,COD,"0","0"
ABE,"3","6.06953083698","-4.26032000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
ACHOLI,"4","3.10812146411","32.65680000000",Uganda,UGA,"0","0"
ADAMAWA,"5","7.55609065696","13.18470000000",Nigeria,NGA,"0","0"
ADANGME,"6","6.07685084862","0.27045692167",Ghana,GHA,"10354","0"
ADARAWA,"7","14.40160000000","5.30310348992",Nigeria,NGA,"0","0"
ADELE,"8","8.24428409608","0.67365115230",Togo,TGO,"29","0"
AFAR,"9","12.33480000000","41.39230000000",Ethiopia,ETH,"0","0"
AFO,"10","8.24274895601","8.05948549900",Nigeria,NGA,"0","0"
AFUSARE,"11","9.95871877584","9.18228825545",Nigeria,NGA,"0","0"
AHAGGAREN,"12","23.80350000000","4.22900623631",Algeria,DZA,"0","0"
AJUKRU,"13","5.50535267053","-4.65418000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
AKPOSO,"14","7.62490871179","1.14474815394",Togo,TGO,"0","0"
AKYEM,"15","6.43891660729","-0.37515200000",Ghana,GHA,"19114","0"
ALAGYA,"16","-3.15836000000","36.83440000000",United Republic of Tanzania,TZA,"0","0"
ALGERIANS,"17","35.84440000000","2.38898913397",Morocco,MAR,"0","0"
ALUR,"18","2.51517290258","31.22260000000",Uganda,UGA,"0","0"
AMARAR,"19","20.05440000000","36.13220000000",Sudan,SDN,"0","0"
AMBA,"20","0.73324732714","29.68650000000",Uganda,UGA,"1883","0"
AMBO,"21","-17.58620000000","16.03950000000",Namibia,NAM,"388","0"
AMER,"22","17.37740000000","37.83450000000",Eritrea,ERI,"0","0"
AMHARA,"23","12.03540000000","37.69860000000",Ethiopia,ETH,"0","0"
ANA,"24","7.67604591775","1.55839532130",Togo,TGO,"871","0"
ANAG,"25","14.88280000000","30.07140000000",Sudan,SDN,"0","0"
ANGAS,"26","8.80429041274","9.54545249926",Nigeria,NGA,"0","0"
ANTAISAKA,"27","-22.99440000000","47.62180000000",Madagascar,MDG,"2415","2094"
ANTANDROY,"28","-24.94140000000","45.81090000000",Madagascar,MDG,"3725","3229"
ANTESSAR,"29","17.22770000000","-2.43857000000",Mali,MLI,"0","0"
ANUAK,"30","7.66201699421","34.06770000000",Ethiopia,ETH,"0","0"
ANYANG,"31","5.77005259421","9.47273013267",Nigeria,NGA,"9431","0"
ANYI,"32","6.43969353928","-3.24697000000",Ghana,GHA,"0","0"
ARAD,"33","32.91120000000","9.82890665952",Tunisia,TUN,"0","0"
ARAGO,"34","8.16207253258","8.56075077151",Nigeria,NGA,"0","0"
ARI,"35","5.79531391765","-4.59346000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
ARUSI,"36","6.92506429739","40.57710000000",Ethiopia,ETH,"0","43"
ASBEN,"37","18.87120000000","8.89818089039",Algeria,DZA,"17","0"
ASHANTI,"38","6.74185039785","-1.45238000000",Ghana,GHA,"388610","0"
ASSINI,"39","5.18010860618","-2.86645000000",Ghana,GHA,"0","0"
ATTA,"40","30.45560000000","-5.01499000000",Morocco,MAR,"0","0"
ATTIE,"41","6.04585748510","-3.73501000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
ATYUTI,"42","8.46965130420","0.96384474298",Togo,TGO,"0","0"
AULLIMINDEN,"43","17.10840000000","3.25337185033",Algeria,DZA,"0","0"
AUSHI,"44","-11.15060000000","29.07450000000",Zambia,ZMB,"0","0"
AUYOKAWA,"45","11.78930000000","10.31570000000",Nigeria,NGA,"0","0"
AVATIME,"46","6.73223707161","0.62162126588",Togo,TGO,"0","0"
AVIKAM,"47","5.28743604904","-4.78441000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"4757","0"
AWIYA,"48","10.87760000000","36.93220000000",Ethiopia,ETH,"0","0"
AZANDE,"49","4.57554822616","26.45140000000",South Sudan,SSD,"0","0"
AZJER,"50","26.69510000000","8.74450412530",Libya,LBY,"0","0"
BABUKUR,"51","4.31104207440","29.36580000000",South Sudan,SSD,"0","0"
BABWA,"52","2.49065824662","25.34080000000",Democratic Republic of the Congo,COD,"0","0"
BACHAMA,"53","9.47013917553","11.99180000000",Nigeria,NGA,"0","0"
BAGA,"54","10.38230000000","-14.25260000000",Guinea,GIN,"45","0"
BAGIRMI,"55","11.30210000000","16.40520000000",Chad,TCD,"13","0"
BAHARIYA,"56","27.09860000000","28.22990000000",Egypt,EGY,"0","0"
BAJUN,"57","-1.13974000000","41.75210000000",Somalia,SOM,"0","0"
BAKAKARI,"58","11.38220000000","5.45338771584",Nigeria,NGA,"0","0"
BAKO,"59","5.81759010724","36.49290000000",Ethiopia,ETH,"0","0"
BAKWE,"60","5.27899084681","-6.94432000000",Liberia,LBR,"0","0"
