City,State,Country,result_num,osm_id,display_na,category,type,latlong
Alvear,Corrientes,Argentina,"0","3138396","Municipio de Alvear, Departamento General Alvear, Corrientes, 3344, Argentina",boundary,administrative,"-29.0989143,-56.5534621"
Bella Vista,Corrientes,Argentina,"0","3125258","Municipio de Bella Vista, Departamento Bella Vista, Corrientes, 3432, Argentina",boundary,administrative,"-28.5073653,-59.0452284"
Concepcion,Corrientes,Argentina,"0","3130063","Municipio de Concepción, Departamento Concepción, Corrientes, 3423, Argentina",boundary,administrative,"-28.3930294,-57.8868493"
Corrientes,Corrientes,Argentina,"0","3127758","Corrientes, Departamento Capital, Corrientes, Argentina",boundary,administrative,"-27.4687004,-58.8311982"
Curuzu Cuatia,Corrientes,Argentina,"0","3134569","Municipio de Curuzú Cuatiá, Departamento Curuzú Cuatiá, Corrientes, Argentina",boundary,administrative,"-29.7913375,-58.0498307"
Municipio de San Miguel,Corrientes,Argentina,"0","3149505","Municipio de San Miguel, Departamento San Miguel, Corrientes, Argentina",boundary,administrative,"-27.9980337,-57.5872678"
Empedrado,Corrientes,Argentina,"0","3134599","Municipio de Empedrado, Departamento Empedrado, Corrientes, Argentina",boundary,administrative,"-27.9542622,-58.8089124"
Esquina,Corrientes,Argentina,"0","3135965","Municipio de Esquina, Departamento Esquina, Corrientes, Argentina",boundary,administrative,"-30.0170807,-59.5340904"
Goya,Corrientes,Argentina,"0","3144223","Municipio de Goya, Departamento Goya, Corrientes, Argentina",boundary,administrative,"-29.1444046,-59.2649825"
Itati,Corrientes,Argentina,"0","3147849","Municipio de Itatí, Departamento Itatí, Corrientes, 3414, Argentina",boundary,administrative,"-27.2690228,-58.242766"
Ituzaingo,Corrientes,Argentina,"0","3149442","Municipio de Ituzaingó, Departamento Ituzaingó, Corrientes, Argentina",boundary,administrative,"-27.5896182,-56.6893413"
Municipio de La Cruz,Corrientes,Argentina,"0","3164040","Municipio de La Cruz, Departamento San Martín, Corrientes, 3346, Argentina",boundary,administrative,"-29.1761325,-56.6427403"
Mburucuya,Corrientes,Argentina,"0","3154031","Municipio de Mburucuyá, Departamento Mburucuyá, Corrientes, 3427, Argentina",boundary,administrative,"-28.0465164,-58.2303422"
Mercedes,Corrientes,Argentina,"0","3155277","Municipio de Mercedes, Departamento Mercedes, Corrientes, Argentina",boundary,administrative,"-29.1835645,-58.0799951"
Monte Caseros,Corrientes,Argentina,"0","3156447","Municipio de Monte Caseros, Departamento Monte Caseros, Corrientes, 3220, Argentina",boundary,administrative,"-30.2496832,-57.6294418"
Municipio de Caa Cati,Corrientes,Argentina,"0","3139058","Municipio de Nuestra Señora del Rosario de Caá Catí, Departamento General Paz, Corrientes, 3407, Argentina",boundary,administrative,"-27.7521173,-57.6219992"
Paso de los Libres,Corrientes,Argentina,"0","3157189","Municipio de Paso de los Libres, Departamento Paso de los Libres, Corrientes, Argentina",boundary,administrative,"-29.7136574,-57.0861369"
Saladas,Corrientes,Argentina,"0","3158744","Saladas, Departamento Saladas, Corrientes, Argentina",boundary,administrative,"-28.2547059,-58.6233333"
San Antonio de Itati,Corrientes,Argentina,"0","3126749","Municipio de San Antonio de Itatí, Departartamento Berón de Astrada, Corrientes, Argentina",boundary,administrative,"-27.5502367,-57.5283607"
San Cosme,Corrientes,Argentina,"0","3161606","Municipio de San Cosme, Departamento San Cosme, Corrientes, Argentina",boundary,administrative,"-27.3703186,-58.5125679"
San Luis del Palmar,Corrientes,Argentina,"0","3161644","Municipio de San Luis del Palmar, Departamento San Luis del Palmar, Corrientes, Argentina",boundary,administrative,"-27.5077031,-58.5561657"
San Roque,Corrientes,Argentina,"0","9389182","San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, 3448, Argentina",boundary,administrative,"-28.5709194,-58.7119707"
Santa Lucia,Corrientes,Argentina,"0","3153110","Municipio de Santa Lucía, Departamento Lavalle, Corrientes, Argentina",boundary,administrative,"-28.9897454,-59.1006988"
Santo Tome,Corrientes,Argentina,"0","2294420","Santo Tomé, Municipio de Santo Tomé, Departamento Santo Tomé, Corrientes, 3340, Argentina",boundary,administrative,"-28.55676325,-56.05398052939918"
Sauce,Corrientes,Argentina,"0","14102444","Sauce, Municipio de Sauce, Departamento Sauce, Corrientes, Argentina",boundary,administrative,"-30.0832901,-58.7884026"
